Full Name,First Name,Last Name,District / State,Type,Party,First Elected,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,Senate Class,Birthday,Age,Twitter,Facebook,YouTube,Prior Experience,Education,Veteran?
Andy Harris,Andy,Harris,Maryland's 1st,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/25/1957,64,RepAndyHarrisMD,AndyHarrisMD,RepAndyHarris,Maryland State SenateAnesthesiologist,"Johns Hopkins University (BS, MD, MHS)",Yes
Andy Kim,Andy,Kim,New Jersey's 3rd,Representative,Democratic,2018,Man,Asian - Korean,Christian - Protestant - Presbyterian,No,Won,N/A,7/12/1982,38,RepAndyKimNJ,,,National security adviser,"Deep Springs CollegeUniversity of Chicago (BA)Magdalen College, Oxford (MPhil, DPhil)",No
Andy Levin,Andy,Levin,Michigan's 9th,Representative,Democratic,2018,Man,White - Non-Hispanic,Jewish,No,Won,N/A,8/1/1960,60,RepAndyLevin,,,Attorney,"Williams College (BA)University of Michigan, Ann Arbor (MA)Harvard University (JD)",No
Angie Craig,Angie,Craig,Minnesota's 2nd,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Protestant - Lutheran,Lesbian,Won,N/A,2/14/1972,49,RepAngieCraig,,,Medical technology executiveReporter,University of Memphis (BA),No
Ann Kirkpatrick,Ann,Kirkpatrick,Arizona's 2nd,Representative,Democratic,"2018, 2012-2016, 2008-2010",Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/24/1950,71,RepKirkpatrick,,,U.S. HouseArizona House of Representatives,"University of Arizona (BA, JD)",No
Ann Wagner,Ann,Wagner,Missouri's 2nd,Representative,Republican,2012,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,9/13/1962,58,RepAnnWagner,RepAnnWagner,,U.S. Ambassador to Luxembourg,University of Missouri (BS),No
Anna Eshoo,Anna,Eshoo,California's 18th,Representative,Democratic,1992,Woman,White - Armenian,Christian - Chaldean Catholic,No,Won,N/A,12/13/1942,78,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,San Mateo County Board of Supervisors,Cañada College,No
Annie Kuster,Annie,Kuster,New Hampshire's 2nd,Representative,Democratic,2012,Woman,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,9/5/1956,64,RepAnnieKuster,CongresswomanAnnieKuster,RepKuster,AttorneyLobbyist,Dartmouth College (BA)Georgetown University (JD),No
Anthony Brown,Anthony,Brown,Maryland's 4th,Representative,Democratic,2016,Man,Black - Jamaican,Christian - Roman Catholic,No,Won,N/A,11/21/1961,59,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,Lieutenant Governor of MarylandMaryland House of Delegates,"Harvard University (BA, JD)",Yes
Anthony Gonzalez,Anthony,Gonzalez,Ohio's 16th,Representative,Republican,2018,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Won,N/A,9/19/1984,36,RepAGonzalez,,,Football player,Ohio State University (BA)Stanford University (MBA),No
Antonio Delgado,Antonio,Delgado,New York's 19th,Representative,Democratic,2018,Man,Black - African-American / Hispanic - Puerto Rican,Unknown/Refused,No,Won,N/A,1/19/1977,44,repdelgado,,,Attorney,"Colgate University (BA)Queen's College, OxfordHarvard University (JD)",No
Ashley Hinson,Ashley,Hinson,Iowa's 1st,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Lost,N/A,6/27/1983,38,RepAshleyHinson,,,Iowa House of RepresentativesNews anchor,University of Southern California (BA),No
August Pfluger,August,Pfluger,Texas' 11th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,N/A,12/28/1978,42,RepPfluger,,,National Security CouncilUnited States Air Force Lieutenant colonel,United States Air Force Academy (BS) Embry–Riddle Aeronautical University (MS)  Air University (MS) Georgetown University (MS),Yes
Austin Scott,Austin,Scott,Georgia's 8th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,12/10/1969,51,AustinScottGA08,RepAustinScott,RepAustinScott,Georgia House of Representatives,University of Georgia (BA),No
Ayanna Pressley,Ayanna,Pressley,Massachusetts' 7th,Representative,Democratic,2018,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,2/3/1974,47,RepPressley,,,Boston City Council,Boston University,No
Barbara Lee,Barbara,Lee,California's 13th,Representative,Democratic,1998 Special,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,7/16/1946,74,RepBarbaraLee,RepBarbaraLee,RepLee,California State Assembly,"Mills College (BA)University of California, Berkeley (MSW)",No
Barry Loudermilk,Barry,Loudermilk,Georgia's 11th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,12/22/1963,57,RepLoudermilk,reploudermilk,,Georgia State SenateGeorgia House of Representatives,Air UniversityWayland Baptist University (BS),Yes
Barry Moore,Barry,Moore,Alabama's 2nd,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Open - Retired,N/A,9/26/1966,54,RepBarryMoore,,,Alabama House of Representatives,Enterprise State Community College (AS)Auburn University (BS),Yes
Ben Cline,Ben,Cline,Virginia's 6th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/29/1972,49,RepBenCline,,,Virginia House of Delegates,Bates College (BA)University of Richmond (JD),No
Bennie Thompson,Bennie,Thompson,Mississippi's 2nd,Representative,Democratic,1993 Special,Man,Black - African-American,Christian - Protestant - Methodist,No,Won,N/A,1/28/1948,73,BennieGThompson,CongressmanBennieGThompson,RepBennieThompson,Alderman and Mayor of BoltonHinds County Board of Supervisors,Tougaloo College (BA)Jackson State University (MS),No
Beth Van Duyne,Beth,Van Duyne,Texas' 24th,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Open - Retired,N/A,11/16/1970,50,RepBethVanDuyne,,,Mayor of Irving,Cornell University (BA),No
Betty McCollum,Betty,McCollum,Minnesota's 4th,Representative,Democratic,2000,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,7/12/1954,66,BettyMcCollum04,repbettymccollum,BMcCollum04,North St. Paul City CouncilMinnesota House of Representatives,St. Catherine University (BA),No
Bill Foster,Bill,Foster,Illinois' 11th,Representative,Democratic,"2012, 2008 Special-2010",Man,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,10/7/1955,65,RepBillFoster,CongressmanBillFoster,RepBillFoster,U.S. HouseResearch physicistBusinessman,"University of Wisconsin–Madison (BS)Harvard University (MS, PhD)",No
Bill Huizenga,Bill,Huizenga,Michigan's 2nd,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Reformed (Calvinist),No,Won,N/A,1/31/1969,52,RepHuizenga,RepHuizenga,RepHuizenga,Michigan House of Representatives,Calvin College (BA),No
Bill Johnson,Bill,Johnson,Ohio's 6th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,11/10/1954,66,RepBillJohnson,RepBillJohnson,RepBillJohnson,United States Air Force,Troy University (BS)Georgia Institute of Technology (MS),Yes
Bill Keating,Bill,Keating,Massachusetts' 9th,Representative,Democratic,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,9/6/1952,68,USRepKeating,Congressman.Keating,RepBillKeating,Massachusetts House of RepresentativesMassachusetts SenateNorfolk County District Attorney,"Boston College (BA, MBA)Suffolk University (JD)",No
Bill Pascrell,Bill,Pascrell,New Jersey's 9th,Representative,Democratic,1996,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/25/1937,84,BillPascrell,pascrell,RepPascrell,New Jersey General AssemblyMayor of Paterson,"Fordham University (BA, MA)",Yes
Bill Posey,Bill,Posey,Florida's 8th,Representative,Republican,2008,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,12/18/1947,73,CongBillPosey,bill.posey15,CongressmanPosey,Florida SenateFlorida House of RepresentativesRockledge City Council,Eastern Florida State College,No
Billy Long,Billy,Long,Missouri's 7th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,8/11/1955,65,USRepLong,Rep.Billy.Long,MOdistrict7,Auctioneer,University of Missouri,No
Blaine Luetkemeyer,Blaine,Luetkemeyer,Missouri's 3rd,Representative,Republican,2008,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,5/7/1952,69,RepBlaine,BlaineLuetkemeyer,BLuetkemeyer,Missouri House of RepresentativesState Tourism Director,"Lincoln University, Missouri (BA)",No
Blake Moore,Blake,Moore,Utah's 1st,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Mormon,No,Open - Retired,N/A,6/22/1980,41,RepBlakeMoore,,,United States Foreign Service officer,University of Utah (BA)Northwestern University (MS),No
Bob Gibbs,Bob,Gibbs,Ohio's 7th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,6/14/1954,67,RepBobGibbs,RepBobGibbs,RepBobGibbs,Ohio SenateOhio House of Representatives,"Ohio State University, Wooster",No
Bob Good,Bob,Good,Virginia's 5th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Evangelical Protestant,No,Lost at party convention,N/A,9/11/1965,55,RepBobGood,,,Liberty University Athletic Director  Campbell County Board of Supervisors,"Liberty University (BS, MBA)",No
Bob Latta,Bob,Latta,Ohio's 5th,Representative,Republican,2007 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,4/18/1956,65,BobLatta,boblatta,CongressmanBobLatta,Wood County CommissionerOhio House of RepresentativesOhio Senate,Bowling Green State University (BA)University of Toledo (JD),No
Bobby Rush,Bobby,Rush,Illinois' 1st,Representative,Democratic,1992,Man,Black - African-American,Christian - Protestant,No,Won,N/A,11/23/1946,74,RepBobbyRush,congressmanbobbyrush,CongressmanRush,Chicago City Council,Roosevelt University (BGS)University of Illinois at Chicago (MA)McCormick Theological Seminary (MA),Yes
Bobby Scott,Bobby,Scott,Virginia's 3rd,Representative,Democratic,1992,Man,Black - African-American/Asian - Filipino,Christian - Protestant - Episcopalian,No,Won,N/A,4/30/1947,74,BobbyScott,RepBobbyScott,repbobbyscott,Virginia SenateVirginia House of Delegates,Harvard University (BA)Boston College (JD),Yes
Bonnie Watson Coleman,Bonnie Watson,Coleman,New Jersey's 12th,Representative,Democratic,2014,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,2/6/1945,76,RepBonnie,RepBonnie,,New Jersey General Assembly,Rutgers UniversityThomas Edison State University (BA),No
Brad Schneider,Brad,Schneider,Illinois' 10th,Representative,Democratic,2016,Man,White - Non-Hispanic,Jewish,No,Won,N/A,8/20/1961,59,repschneider,CongressmanBradSchneider,RepBradSchneider,U.S. HouseManagement consultant,"Northwestern University (BS, MBA)",No
Brad Sherman,Brad,Sherman,California's 30th,Representative,Democratic,1996,Man,White - Non-Hispanic,Jewish,No,Won,N/A,10/24/1954,66,BradSherman,63158229861,shermanca27,California Board of Equalization,"University of California, Los Angeles (BA)Harvard University (JD)",No
Brad Wenstrup,Brad,Wenstrup,Ohio's 2nd,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,6/17/1958,63,RepBradWenstrup,RepBradWenstrup,repbradwenstrup,Physician,"University of Cincinnati (BA)Rosalind Franklin University (BS, DPM)",Yes
Brenda Lawrence,Brenda,Lawrence,Michigan's 14th,Representative,Democratic,2014,Woman,Black - African-American,Christian - Protestant,No,Won,N/A,10/18/1954,66,RepLawrence,395759603917487,,Mayor of Southfield,University of Detroit MercyCentral Michigan University (BA),No
Brendan Boyle,Brendan,Boyle,Pennsylvania's 2nd,Representative,Democratic,2014,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/6/1977,44,CongBoyle,CongressmanBoyle,,Pennsylvania House of Representatives,University of Notre Dame (BA)Harvard University (MPP),No
Brett Guthrie,Brett,Guthrie,Kentucky's 2nd,Representative,Republican,2008,Man,White - Non-Hispanic,Christian - Restorationist,No,Won,N/A,2/18/1964,57,RepGuthrie,CongressmanGuthrie,BrettGuthrie,Kentucky Senate,United States Military Academy (BS)Yale University (MBA),Yes
Brian Babin,Brian,Babin,Texas' 36th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,3/23/1948,73,RepBrianBabin,RepBrianBabin,,Lower Neches Valley AuthorityTexas Historical CommissionMayor of Woodville,"Lamar University (BS)University of Texas, Houston (DDS)",Yes
Brian Fitzpatrick,Brian,Fitzpatrick,Pennsylvania's 1st,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,12/17/1973,47,repbrianfitz,repbrianfitzpatrick,,FBI agentSpecial Assistant U.S. Attorney,"La Salle University (BS)Pennsylvania State University (MBA)Pennsylvania State University, Carlisle (JD)",No
Brian Higgins,Brian,Higgins,New York's 26th,Representative,Democratic,2004,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,10/6/1959,61,RepBrianHiggins,RepBrianHiggins,CongressmanHiggins,Buffalo Common CouncilNew York State Assembly,"Buffalo State College (BA, MA)Harvard University (MPA)",No
Brian Mast,Brian,Mast,Florida's 18th,Representative,Republican,2016,Man,Hispanic - Mexican,Christian - Protestant,No,Won,N/A,7/10/1980,40,repbrianmast,repbrianmast,repbrianmast,U.S. Army Soldier,Palm Beach Atlantic UniversityAmerican Military UniversityHarvard University (BLA),Yes
Bruce Westerman,Bruce,Westerman,Arkansas' 4th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,11/18/1967,53,RepWesterman,RepWesterman,,Arkansas House of Representatives,University of Arkansas (BS)Yale University (MS),No
Bryan Steil,Bryan,Steil,Wisconsin's 1st,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/30/1981,40,RepBryanSteil,,,Congressional aideAttorney,Georgetown University (BS)University of Wisconsin–Madison (JD),No
Buddy Carter,Buddy,Carter,Georgia's 1st,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,9/6/1957,63,RepBuddyCarter,congressmanbuddycarter,,Georgia SenateGeorgia House of RepresentativesMayor of Pooler,Young Harris CollegeUniversity of Georgia (BS),No
Burgess Owens,Burgess,Owens,Utah's 4th,Representative,Republican,2020,Man,Black - African-American,Christian - Mormon,No,Lost,N/A,8/2/1951,69,RepBurgessOwens,,,Businessman  National Football League player,University of Miami (BS),No
Byron Donalds,Byron,Donalds,Florida's 19th,Representative,Republican,2020,Man,Black - African-American,Christian - Protestant,No,Open - Retired,N/A,10/28/1978,42,,,,Florida House of Representatives,Florida State University (BS),No
Carlos Giménez,Carlos,Giménez,Florida's 26th,Representative,Republican,2020,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Lost,N/A,1/17/1954,67,RepCarlos,,,Mayor of Miami-Dade CountyMiami-Dade County Commission,Barry University (BPA),No
Carol Miller,Carol,Miller,West Virginia's 3rd,Representative,Republican,2018,Woman,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,11/4/1950,70,RepCarolMiller,,,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",No
Carolyn Bourdeaux,Carolyn,Bourdeaux,Georgia's 7th,Representative,Democratic,2020,Woman,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,N/A,6/3/1970,51,RepBourdeaux,,,Professor,Yale University (BA)University of Southern California (MPA)Syracuse University (DPA),No
Carolyn Maloney,Carolyn,Maloney,New York's 12th,Representative,Democratic,1992,Woman,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,2/19/1946,75,RepMaloney,RepCarolynMaloney,carolynbmaloney,New York City Council,Greensboro College (BA),No
Cathy McMorris Rodgers,Cathy,McMorris Rodgers,Washington's 5th,Representative,Republican,2004,Woman,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,N/A,5/22/1969,52,CathyMcMorris,mcmorrisrodgers,mcmorrisrodgers,Washington House of Representatives,Pensacola Christian College (BA)University of Washington (MBA),No
Charlie Crist,Charlie,Crist,Florida's 13th,Representative,Democratic,2016,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,7/24/1956,64,repcharliecrist,RepCharlieCrist,,Governor of FloridaAttorney General of FloridaEducation Commissioner of FloridaFlorida Senate,Wake Forest UniversityFlorida State University (BA)Samford University (JD),No
Chellie Pingree,Chellie,Pingree,Maine's 1st,Representative,Democratic,2008,Woman,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,4/2/1955,66,ChelliePingree,ChelliePingree,congresswomanpingree,"Maine State Senate  President, Common Cause",University of Southern Maine  College of the Atlantic (BS),No
Cheri Bustos,Cheri,Bustos,Illinois' 17th,Representative,Democratic,2012,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,10/17/1961,59,RepCheri,RepCheri,RepCheri,East Moline City CouncilHealthcare executiveJournalist,"University of Maryland, College Park (BA)University of Illinois, Springfield (MA)",No
Chip Roy,Chip,Roy,Texas' 21st,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,8/7/1972,48,RepChipRoy,,,First Assistant Attorney General of Texas,"University of Virginia (BS, MS)University of Texas, Austin (JD)",No
Chris Jacobs,Chris,Jacobs,New York's 27th,Representative,Republican,2020 Special,Man,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,11/28/1966,54,,,,New York State SenateSecretary of State of New YorkErie County Clerk,Boston College (BA)American University (MA)University at Buffalo (JD),No
Chris Pappas,Chris,Pappas,New Hampshire's 1st,Representative,Democratic,2018,Man,White - Non-Hispanic,Christian - Eastern Orthodox,Gay,Won,N/A,6/4/1980,41,RepChrisPappas,,,New Hampshire Executive CouncilTreasurer of Hillsborough CountyNew Hampshire House of Representatives,Harvard University (BA),No
Chris Smith,Chris,Smith,New Jersey's 4th,Representative,Republican,1980,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/4/1953,68,RepChrisSmith,RepChrisSmith,USRepChrisSmith,Retail executive,The College of New Jersey (BS),No
Chris Stewart,Chris,Stewart,Utah's 2nd,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Mormon,No,Won,N/A,7/15/1960,60,RepChrisStewart,RepChrisStewart,repchrisstewart,AuthorBusinessman,Utah State University (BA),Yes
Chrissy Houlahan,Chrissy,Houlahan,Pennsylvania's 6th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,6/5/1967,54,RepHoulahan,,,EntrepreneurU.S. Air Force,Stanford University (BS)Massachusetts Institute of Technology (MS),Yes
Chuck Fleischmann,Chuck,Fleischmann,Tennessee's 3rd,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,10/11/1962,58,RepChuck,repchuck,repchuck,Attorney,University of Illinois at Urbana–Champaign (BA)University of Tennessee (JD),No
Chuy Garcia,Chuy,Garcia,Illinois' 4th,Representative,Democratic,2018,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,4/12/1956,65,RepChuyGarcia,,,Cook County Board of CommissionersIllinois SenateChicago City Council,"University of Illinois, Chicago (BA, MUP)",No
Cindy Axne,Cindy,Axne,Iowa's 3rd,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,4/20/1965,56,RepCindyAxne,,,Businesswoman,University of Iowa (BA)Northwestern University (MBA),No
Claudia Tenney,Claudia,Tenney,New York's 22nd,Representative,Republican,"2020, 2016-2018",Woman,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Lost,N/A,2/4/1961,60,RepTenney,,,U.S. HouseNew York State Assembly,Colgate University (BA)University of Cincinnati (JD),No
Clay Higgins,Clay,Higgins,Louisiana's 3rd,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,8/24/1961,59,RepClayHiggins,CongressmanClayHiggins,,Reserve Deputy Marshal of Lafayette,Louisiana State University,Yes
Cliff Bentz,Cliff,Bentz,Oregon's 2nd,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,N/A,1/12/1952,69,RepBentz,,,Oregon State Senate,Eastern Oregon University (BA)Lewis and Clark College (JD),No
Colin Allred,Colin,Allred,Texas' 32nd,Representative,Democratic,2018,Man,Black - African-American,Christian - Protestant - Methodist,No,Won,N/A,4/15/1983,38,RepColinAllred,,,AttorneyFootball player,"Baylor University (BA)University of California, Berkeley (JD)",No
Conor Lamb,Conor,Lamb,Pennsylvania's 17th,Representative,Democratic,2018 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,6/27/1984,37,RepConorLamb,RepConorLamb,,Assistant U.S. Attorney for the Western District of PennsylvaniaU.S. Marine Corps,"University of Pennsylvania (BA, JD)",Yes
Cori Bush,Cori,Bush,Missouri's 1st,Representative,Democratic,2020,Woman,Black - African-American,Christian - Protestant - Nondenominational,No,Open - Lost in primary,N/A,7/21/1976,44,RepCori,,,Registered nurse  Pastor  Activist,Lutheran School of Nursing (GrDip),No
Dan Bishop,Dan,Bishop,North Carolina's 9th,Representative,Republican,2019 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,7/1/1964,57,RepDanBishop,repdanbishop,,North Carolina SenateNorth Carolina House of Representatives Mecklenburg County Commission,"University of North Carolina at Chapel Hill (BS, JD)",No
Dan Crenshaw,Dan,Crenshaw,Texas' 2nd,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,3/14/1984,37,RepDanCrenshaw,,,U.S. Navy SEAL,Tufts University (BA)Harvard University (MPA),Yes
Dan Kildee,Dan,Kildee,Michigan's 5th,Representative,Democratic,2012,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,8/11/1958,62,RepDanKildee,RepDanKildee,RepDanKildee,Genesee County Treasurer,University of Michigan–FlintCentral Michigan University (BS),No
